(1, 141, 41)
    (2, 130, 26)
        (3, 127, 21)
            (4, 118, 5)
            (5, 111, 11)
                (6, 108, 5)
                (7, 108, 2)
    (8, 137, 13)
        (9, 125, 10)
            (10, 119, 2)
                (11, 100, 1)
            (12, 111, 5)

(13, 148, 25)
    (14, 131, 22)
        (15, 127, 9)
            (16, 118, 7)
                (17, 106, 2)
                (18, 105, 4)
        (19, 125, 10)
            (20, 114, 8)
                (21, 102, 2)
                (22, 100, 2)
