(1, 140, 38)
    (2, 136, 33)
        (3, 125, 16)
            (4, 112, 2)
                (5, 104, 1)
            (6, 114, 12)
                (7, 102, 5)
                (8, 102, 3)
        (9, 129, 13)
            (10, 113, 7)
                (11, 106, 4)
            (12, 111, 3)
                (13, 100, 1)

(14, 149, 31)
    (15, 139, 9)
        (16, 124, 5)
        (17, 125, 3)
    (18, 138, 18)
        (19, 123, 1)
        (20, 124, 14)
            (21, 113, 6)
                (22, 102, 3)
            (23, 119, 3)
