(1, 142, 47)
    (2, 131, 36)
        (3, 121, 19)
            (4, 110, 10)
                (5, 105, 5)
            (6, 112, 7)
                (7, 103, 2)
        (8, 126, 12)
            (9, 115, 8)
                (10, 102, 4)
                (11, 108, 2)
    (12, 132, 8)
        (13, 128, 5)
            (14, 117, 2)

(15, 149, 40)
    (16, 131, 37)
        (17, 128, 15)
            (18, 110, 8)
                (19, 100, 4)
            (20, 117, 3)
        (21, 127, 18)
            (22, 110, 9)
                (23, 102, 4)
            (24, 117, 7)
                (25, 107, 3)
