SurgeryConfig{surgeryID=10, surgeonID=8, surgeryTime=3, preparationTime=1, cleaningTime=2}
SurgeryConfig{surgeryID=11, surgeonID=8, surgeryTime=1, preparationTime=2, cleaningTime=1}
SurgeryConfig{surgeryID=12, surgeonID=13, surgeryTime=1, preparationTime=1, cleaningTime=1}
SurgeryConfig{surgeryID=13, surgeonID=6, surgeryTime=2, preparationTime=1, cleaningTime=1}
SurgeryConfig{surgeryID=14, surgeonID=13, surgeryTime=1, preparationTime=1, cleaningTime=1}
SurgeryConfig{surgeryID=15, surgeonID=9, surgeryTime=2, preparationTime=2, cleaningTime=1}
SurgeryConfig{surgeryID=16, surgeonID=5, surgeryTime=3, preparationTime=1, cleaningTime=1}
SurgeryConfig{surgeryID=17, surgeonID=6, surgeryTime=1, preparationTime=1, cleaningTime=2}
SurgeryConfig{surgeryID=18, surgeonID=9, surgeryTime=3, preparationTime=1, cleaningTime=1}
SurgeryConfig{surgeryID=19, surgeonID=10, surgeryTime=1, preparationTime=1, cleaningTime=1}
SurgeryConfig{surgeryID=20, surgeonID=5, surgeryTime=2, preparationTime=1, cleaningTime=1}
SurgeryConfig{surgeryID=21, surgeonID=7, surgeryTime=2, preparationTime=1, cleaningTime=2}
SurgeryConfig{surgeryID=22, surgeonID=12, surgeryTime=1, preparationTime=1, cleaningTime=1}
SurgeryConfig{surgeryID=23, surgeonID=11, surgeryTime=3, preparationTime=1, cleaningTime=1}
SurgeryConfig{surgeryID=24, surgeonID=5, surgeryTime=2, preparationTime=1, cleaningTime=1}
SurgeryConfig{surgeryID=25, surgeonID=10, surgeryTime=3, preparationTime=2, cleaningTime=1}
SurgeryConfig{surgeryID=26, surgeonID=9, surgeryTime=3, preparationTime=1, cleaningTime=2}
SurgeryConfig{surgeryID=27, surgeonID=8, surgeryTime=3, preparationTime=2, cleaningTime=1}
SurgeryConfig{surgeryID=28, surgeonID=10, surgeryTime=1, preparationTime=1, cleaningTime=2}
SurgeryConfig{surgeryID=29, surgeonID=11, surgeryTime=2, preparationTime=1, cleaningTime=1}
SurgeryConfig{surgeryID=30, surgeonID=13, surgeryTime=3, preparationTime=1, cleaningTime=1}
SurgeryConfig{surgeryID=31, surgeonID=7, surgeryTime=1, preparationTime=2, cleaningTime=1}
SurgeryConfig{surgeryID=32, surgeonID=12, surgeryTime=2, preparationTime=2, cleaningTime=2}
SurgeryConfig{surgeryID=33, surgeonID=11, surgeryTime=1, preparationTime=2, cleaningTime=1}
SurgeryConfig{surgeryID=34, surgeonID=6, surgeryTime=1, preparationTime=1, cleaningTime=1}
SurgeryConfig{surgeryID=35, surgeonID=12, surgeryTime=1, preparationTime=1, cleaningTime=1}
SurgeryConfig{surgeryID=36, surgeonID=7, surgeryTime=3, preparationTime=1, cleaningTime=1}
