SurgeryConfig{surgeryID=10, surgeonID=8, surgeryTime=3, preparationTime=1, cleaningTime=1}
SurgeryConfig{surgeryID=11, surgeonID=9, surgeryTime=2, preparationTime=1, cleaningTime=1}
SurgeryConfig{surgeryID=12, surgeonID=8, surgeryTime=3, preparationTime=1, cleaningTime=1}
SurgeryConfig{surgeryID=13, surgeonID=7, surgeryTime=1, preparationTime=1, cleaningTime=1}
SurgeryConfig{surgeryID=14, surgeonID=7, surgeryTime=3, preparationTime=2, cleaningTime=1}
SurgeryConfig{surgeryID=15, surgeonID=7, surgeryTime=2, preparationTime=1, cleaningTime=2}
SurgeryConfig{surgeryID=16, surgeonID=5, surgeryTime=3, preparationTime=1, cleaningTime=2}
SurgeryConfig{surgeryID=17, surgeonID=9, surgeryTime=3, preparationTime=2, cleaningTime=1}
SurgeryConfig{surgeryID=18, surgeonID=5, surgeryTime=3, preparationTime=1, cleaningTime=1}
SurgeryConfig{surgeryID=19, surgeonID=9, surgeryTime=1, preparationTime=1, cleaningTime=1}
SurgeryConfig{surgeryID=20, surgeonID=8, surgeryTime=2, preparationTime=1, cleaningTime=2}
SurgeryConfig{surgeryID=21, surgeonID=6, surgeryTime=2, preparationTime=1, cleaningTime=1}
SurgeryConfig{surgeryID=22, surgeonID=6, surgeryTime=1, preparationTime=1, cleaningTime=1}
SurgeryConfig{surgeryID=23, surgeonID=5, surgeryTime=2, preparationTime=1, cleaningTime=2}
SurgeryConfig{surgeryID=24, surgeonID=6, surgeryTime=3, preparationTime=2, cleaningTime=1}
